event_id,stage,exposure_alpha,profile,exposure_basis,profile_basis
e1,adv_fab,0.35,market_exponential,"The interim final rule names top-end AI accelerators and HBM3E-class stacks directly, so those two stages are near-fully in scope. Advanced fab and advanced packaging are touched only through the China-bound share of the parts being restricted, not across their whole output.","The standing BIS AI-chip and SME regime is already carried by the structural policy layer (policy family ""bis""), so this record models the ADJUSTMENT to the new rule — re-routing, re-qualification, licence applications — which fades. Modelling it as a permanent operational term as well would count the same control twice."
e1,adv_pkg,0.3,market_exponential,"The interim final rule names top-end AI accelerators and HBM3E-class stacks directly, so those two stages are near-fully in scope. Advanced fab and advanced packaging are touched only through the China-bound share of the parts being restricted, not across their whole output.","The standing BIS AI-chip and SME regime is already carried by the structural policy layer (policy family ""bis""), so this record models the ADJUSTMENT to the new rule — re-routing, re-qualification, licence applications — which fades. Modelling it as a permanent operational term as well would count the same control twice."
e2,adv_pkg,0.8,market_exponential,"CoWoS is an advanced-packaging capacity line, so the easing lands almost wholly on that stage. It reaches AI logic only by relieving the packaging bottleneck those parts queue for, which is a partial and indirect exposure.",A capacity pull-in eases an allocation constraint; the relief is absorbed into the running baseline over a commercial cycle rather than ending on a date.
e2,logic_ai,0.35,market_exponential,"CoWoS is an advanced-packaging capacity line, so the easing lands almost wholly on that stage. It reaches AI logic only by relieving the packaging bottleneck those parts queue for, which is a partial and indirect exposure.",A capacity pull-in eases an allocation constraint; the relief is absorbed into the running baseline over a commercial cycle rather than ending on a date.
e4,gases,0.75,market_exponential,Gallium and germanium are gases-and-materials stage inputs and the licensing regime applies to them directly. Analog is exposed only through the subset of parts that use those materials.,"A licensing throughput slowdown, not a physical outage: it eases as licences clear and as buyers qualify alternative sources."
e4,analog,0.3,market_exponential,Gallium and germanium are gases-and-materials stage inputs and the licensing regime applies to them directly. Analog is exposed only through the subset of parts that use those materials.,"A licensing throughput slowdown, not a physical outage: it eases as licences clear and as buyers qualify alternative sources."
h2606_mpban,gases,0.55,market_exponential,Blacklisting named U.S. rare-earth processors restricts part of the materials stage rather than all of it; automotive demand is the downstream end-market the record names.,"A counter-designation whose effect is on procurement routing, which re-forms over a commercial cycle."
h2606_mpban,m_auto,0.25,market_exponential,Blacklisting named U.S. rare-earth processors restricts part of the materials stage rather than all of it; automotive demand is the downstream end-market the record names.,"A counter-designation whose effect is on procurement routing, which re-forms over a commercial cycle."
h2606_subs,logic_ai,0.55,market_exponential,"Extending the ban to overseas subsidiaries closes a routing path rather than a production line: the AI end-market carries the larger exposure because it is the demand side actually cut off, with AI logic exposed through the share of output routed that way.",Scope extension of the standing regime in the structural policy layer; the operational term models the re-routing period.
h2606_subs,m_ai,0.6,market_exponential,"Extending the ban to overseas subsidiaries closes a routing path rather than a production line: the AI end-market carries the larger exposure because it is the demand side actually cut off, with AI logic exposed through the share of output routed that way.",Scope extension of the standing regime in the structural policy layer; the operational term models the re-routing period.
h2603_memorypeak,memory_fab,0.85,market_exponential,A near-doubling of contract DRAM prices is a whole-stage condition for memory fabs. Consumer devices carry the larger downstream exposure because memory is a larger share of their bill of materials than of an AI system.,"A price and allocation peak: the record itself states momentum begins cooling at consumer affordability limits, i.e. a commercial-timescale decay."
h2603_memorypeak,m_consumer,0.6,market_exponential,A near-doubling of contract DRAM prices is a whole-stage condition for memory fabs. Consumer devices carry the larger downstream exposure because memory is a larger share of their bill of materials than of an AI system.,"A price and allocation peak: the record itself states momentum begins cooling at consumer affordability limits, i.e. a commercial-timescale decay."
h2603_memorypeak,m_ai,0.45,market_exponential,A near-doubling of contract DRAM prices is a whole-stage condition for memory fabs. Consumer devices carry the larger downstream exposure because memory is a larger share of their bill of materials than of an AI system.,"A price and allocation peak: the record itself states momentum begins cooling at consumer affordability limits, i.e. a commercial-timescale decay."
h2601_ease,logic_ai,0.45,market_exponential,"Case-by-case review reopens a licensing path for one performance band, so neither stage is wholly in scope; the AI end-market is the side that regains access.",An easing folded into the standing BIS regime carried structurally; the operational term models the transitional relief.
h2601_ease,m_ai,0.55,market_exponential,"Case-by-case review reopens a licensing path for one performance band, so neither stage is wholly in scope; the AI end-market is the side that regains access.",An easing folded into the standing BIS regime carried structurally; the operational term models the transitional relief.
h2512_memory,memory_fab,0.75,market_exponential,"The shortage originates in DRAM wafer allocation to HBM, so memory fab carries most of it, HBM is directly implicated as the competing demand, and consumer devices are the named squeezed buyer.","A shortage that clears as capacity and pricing re-equilibrate, on a commercial timescale."
h2512_memory,hbm,0.5,market_exponential,"The shortage originates in DRAM wafer allocation to HBM, so memory fab carries most of it, HBM is directly implicated as the competing demand, and consumer devices are the named squeezed buyer.","A shortage that clears as capacity and pricing re-equilibrate, on a commercial timescale."
h2512_memory,m_consumer,0.45,market_exponential,"The shortage originates in DRAM wafer allocation to HBM, so memory fab carries most of it, HBM is directly implicated as the competing demand, and consumer devices are the named squeezed buyer.","A shortage that clears as capacity and pricing re-equilibrate, on a commercial timescale."
h2510_truce,gases,0.6,persistent_policy,"The suspension covers the sweeping October materials controls, which are a materials-stage measure; analog is relieved only through the parts that consume them.","The record carries an explicit dated window: agreed 30 October 2025, formalized 7 November 2025 (day 8), expiring 10 November 2026 (day 376) unless extended. A suspension is either in force or it is not — it does not fade — so it is modelled as in force across that interval and zero outside it."
h2510_truce,analog,0.25,persistent_policy,"The suspension covers the sweeping October materials controls, which are a materials-stage measure; analog is relieved only through the parts that consume them.","The record carries an explicit dated window: agreed 30 October 2025, formalized 7 November 2025 (day 8), expiring 10 November 2026 (day 376) unless extended. A suspension is either in force or it is not — it does not fade — so it is modelled as in force across that interval and zero outside it."
h2510_reemax,gases,0.85,market_exponential,A sweeping expansion of rare-earth controls is close to a whole-stage measure for materials. Automotive is the end-market with the heaviest magnet dependence in the record; AI systems the lightest of those named.,"A control expansion whose operational bite is licence throughput and inventory drawdown, both commercial-timescale effects."
h2510_reemax,analog,0.35,market_exponential,A sweeping expansion of rare-earth controls is close to a whole-stage measure for materials. Automotive is the end-market with the heaviest magnet dependence in the record; AI systems the lightest of those named.,"A control expansion whose operational bite is licence throughput and inventory drawdown, both commercial-timescale effects."
h2510_reemax,m_auto,0.4,market_exponential,A sweeping expansion of rare-earth controls is close to a whole-stage measure for materials. Automotive is the end-market with the heaviest magnet dependence in the record; AI systems the lightest of those named.,"A control expansion whose operational bite is licence throughput and inventory drawdown, both commercial-timescale effects."
h2510_reemax,m_ai,0.25,market_exponential,A sweeping expansion of rare-earth controls is close to a whole-stage measure for materials. Automotive is the end-market with the heaviest magnet dependence in the record; AI systems the lightest of those named.,"A control expansion whose operational bite is licence throughput and inventory drawdown, both commercial-timescale effects."
h2509_nexperia,analog,0.3,outage_recovery,"Nexperia is one operator, so its share of the analog, mature-fab and OSAT stages is partial. Automotive carries the largest exposure because the record describes auto production cuts as the realized consequence of roughly 70% of Nexperia packaged output being frozen.",The record states partial Chinese exemptions from November 2025 eased the squeeze — roughly 32 days after the 30 September seizure — so the effect declines from that point rather than decaying from day zero.
h2509_nexperia,mature_fab,0.15,outage_recovery,"Nexperia is one operator, so its share of the analog, mature-fab and OSAT stages is partial. Automotive carries the largest exposure because the record describes auto production cuts as the realized consequence of roughly 70% of Nexperia packaged output being frozen.",The record states partial Chinese exemptions from November 2025 eased the squeeze — roughly 32 days after the 30 September seizure — so the effect declines from that point rather than decaying from day zero.
h2509_nexperia,osat,0.2,outage_recovery,"Nexperia is one operator, so its share of the analog, mature-fab and OSAT stages is partial. Automotive carries the largest exposure because the record describes auto production cuts as the realized consequence of roughly 70% of Nexperia packaged output being frozen.",The record states partial Chinese exemptions from November 2025 eased the squeeze — roughly 32 days after the 30 September seizure — so the effect declines from that point rather than decaying from day zero.
h2509_nexperia,m_auto,0.55,outage_recovery,"Nexperia is one operator, so its share of the analog, mature-fab and OSAT stages is partial. Automotive carries the largest exposure because the record describes auto production cuts as the realized consequence of roughly 70% of Nexperia packaged output being frozen.",The record states partial Chinese exemptions from November 2025 eased the squeeze — roughly 32 days after the 30 September seizure — so the effect declines from that point rather than decaying from day zero.
x2509_affiliates,depo,0.35,market_exponential,"Extending Entity List restrictions to majority-owned affiliates widens who is covered, not what is produced: each equipment stage is exposed through the affiliate share of its customer base, and the two fab stages through the tools they were expecting.",A scope extension of the standing regime carried structurally; the operational term is the compliance and re-sourcing adjustment.
x2509_affiliates,etch,0.35,market_exponential,"Extending Entity List restrictions to majority-owned affiliates widens who is covered, not what is produced: each equipment stage is exposed through the affiliate share of its customer base, and the two fab stages through the tools they were expecting.",A scope extension of the standing regime carried structurally; the operational term is the compliance and re-sourcing adjustment.
x2509_affiliates,metro,0.35,market_exponential,"Extending Entity List restrictions to majority-owned affiliates widens who is covered, not what is produced: each equipment stage is exposed through the affiliate share of its customer base, and the two fab stages through the tools they were expecting.",A scope extension of the standing regime carried structurally; the operational term is the compliance and re-sourcing adjustment.
x2509_affiliates,mature_fab,0.2,market_exponential,"Extending Entity List restrictions to majority-owned affiliates widens who is covered, not what is produced: each equipment stage is exposed through the affiliate share of its customer base, and the two fab stages through the tools they were expecting.",A scope extension of the standing regime carried structurally; the operational term is the compliance and re-sourcing adjustment.
x2509_affiliates,memory_fab,0.25,market_exponential,"Extending Entity List restrictions to majority-owned affiliates widens who is covered, not what is produced: each equipment stage is exposed through the affiliate share of its customer base, and the two fab stages through the tools they were expecting.",A scope extension of the standing regime carried structurally; the operational term is the compliance and re-sourcing adjustment.
x2508_veurevoke,memory_fab,0.45,persistent_policy,"Revoking validated end-user authorisations for two operators' China fabs affects those fabs' tool inflow across every equipment stage named, and the memory-fab stage through the plants themselves. Litho is lower because it was already the most tightly licensed stage before the revocation.","The record gives an explicit effective date: notice issued 29 August 2025, effective 31 December 2025, i.e. day 124. This is a standing revocation of a named authorisation that is NOT represented in the structural policy register, and it has not been superseded, so it is in force with no expiry."
x2508_veurevoke,depo,0.4,persistent_policy,"Revoking validated end-user authorisations for two operators' China fabs affects those fabs' tool inflow across every equipment stage named, and the memory-fab stage through the plants themselves. Litho is lower because it was already the most tightly licensed stage before the revocation.","The record gives an explicit effective date: notice issued 29 August 2025, effective 31 December 2025, i.e. day 124. This is a standing revocation of a named authorisation that is NOT represented in the structural policy register, and it has not been superseded, so it is in force with no expiry."
x2508_veurevoke,etch,0.4,persistent_policy,"Revoking validated end-user authorisations for two operators' China fabs affects those fabs' tool inflow across every equipment stage named, and the memory-fab stage through the plants themselves. Litho is lower because it was already the most tightly licensed stage before the revocation.","The record gives an explicit effective date: notice issued 29 August 2025, effective 31 December 2025, i.e. day 124. This is a standing revocation of a named authorisation that is NOT represented in the structural policy register, and it has not been superseded, so it is in force with no expiry."
x2508_veurevoke,metro,0.4,persistent_policy,"Revoking validated end-user authorisations for two operators' China fabs affects those fabs' tool inflow across every equipment stage named, and the memory-fab stage through the plants themselves. Litho is lower because it was already the most tightly licensed stage before the revocation.","The record gives an explicit effective date: notice issued 29 August 2025, effective 31 December 2025, i.e. day 124. This is a standing revocation of a named authorisation that is NOT represented in the structural policy register, and it has not been superseded, so it is in force with no expiry."
x2508_veurevoke,litho,0.3,persistent_policy,"Revoking validated end-user authorisations for two operators' China fabs affects those fabs' tool inflow across every equipment stage named, and the memory-fab stage through the plants themselves. Litho is lower because it was already the most tightly licensed stage before the revocation.","The record gives an explicit effective date: notice issued 29 August 2025, effective 31 December 2025, i.e. day 124. This is a standing revocation of a named authorisation that is NOT represented in the structural policy register, and it has not been superseded, so it is in force with no expiry."
h2507_h20back,logic_ai,0.4,market_exponential,"Resumption under a licence deal restores one SKU family, so the exposure is the share of the AI logic and AI end-market that SKU represents, not the whole of either.",A partial restoration absorbed into the running baseline over a commercial cycle.
h2507_h20back,m_ai,0.55,market_exponential,"Resumption under a licence deal restores one SKU family, so the exposure is the share of the AI logic and AI end-market that SKU represents, not the whole of either.",A partial restoration absorbed into the running baseline over a commercial cycle.
x2507_edalift,eda,0.65,market_exponential,"All three EDA vendors restored China access, so most of the EDA stage is in scope; design is exposed through the share of design work that had actually stopped.","The restoration returns the stage to its previous baseline; the modelled relief is the catch-up period, which fades."
x2507_edalift,design,0.45,market_exponential,"All three EDA vendors restored China access, so most of the EDA stage is in scope; design is exposed through the share of design work that had actually stopped.","The restoration returns the stage to its previous baseline; the modelled relief is the catch-up period, which fades."
x2506_reelicense,gases,0.55,market_exponential,Expedited licensing relieves the throughput constraint on the materials stage; the two downstream stages are relieved only in proportion to how much of their input was actually held up.,"A licensing-throughput easing, commercial timescale."
x2506_reelicense,analog,0.2,market_exponential,Expedited licensing relieves the throughput constraint on the materials stage; the two downstream stages are relieved only in proportion to how much of their input was actually held up.,"A licensing-throughput easing, commercial timescale."
x2506_reelicense,m_auto,0.3,market_exponential,Expedited licensing relieves the throughput constraint on the materials stage; the two downstream stages are relieved only in proportion to how much of their input was actually held up.,"A licensing-throughput easing, commercial timescale."
x2505_eda,eda,0.7,persistent_policy,"All three vendors suspended Chinese sales and support, so most of the EDA stage is in scope and design work in progress genuinely stopped. The fab stages are exposed only through tape-outs that were in flight.","The record carries both boundary dates: suspensions began 28 May 2025 and restrictions were lifted 3 July 2025, a 36-day window. Modelled as fully in force inside that window and exactly zero after it, which is what ""lifted"" means."
x2505_eda,design,0.5,persistent_policy,"All three vendors suspended Chinese sales and support, so most of the EDA stage is in scope and design work in progress genuinely stopped. The fab stages are exposed only through tape-outs that were in flight.","The record carries both boundary dates: suspensions began 28 May 2025 and restrictions were lifted 3 July 2025, a 36-day window. Modelled as fully in force inside that window and exactly zero after it, which is what ""lifted"" means."
x2505_eda,adv_fab,0.2,persistent_policy,"All three vendors suspended Chinese sales and support, so most of the EDA stage is in scope and design work in progress genuinely stopped. The fab stages are exposed only through tape-outs that were in flight.","The record carries both boundary dates: suspensions began 28 May 2025 and restrictions were lifted 3 July 2025, a 36-day window. Modelled as fully in force inside that window and exactly zero after it, which is what ""lifted"" means."
x2505_eda,mature_fab,0.15,persistent_policy,"All three vendors suspended Chinese sales and support, so most of the EDA stage is in scope and design work in progress genuinely stopped. The fab stages are exposed only through tape-outs that were in flight.","The record carries both boundary dates: suspensions began 28 May 2025 and restrictions were lifted 3 July 2025, a 36-day window. Modelled as fully in force inside that window and exactly zero after it, which is what ""lifted"" means."
h2505_rescind,logic_ai,0.35,market_exponential,"Rescinding a rule that had not yet reached its compliance date removes a pending constraint rather than restoring stopped output, so exposures are modest on both stages.",Removal of a pending cap; the relief is priced in over a commercial cycle.
h2505_rescind,m_ai,0.45,market_exponential,"Rescinding a rule that had not yet reached its compliance date removes a pending constraint rather than restoring stopped output, so exposures are modest on both stages.",Removal of a pending cap; the relief is priced in over a commercial cycle.
h2504_h20,logic_ai,0.6,market_exponential,"Licence requirements on the compliant-SKU accelerators halted a specific, large product line: the AI end-market is the side that lost supply outright, with AI logic exposed through that line's share of output.",The standing regime is carried structurally; this models the halt-and-rewrite adjustment.
h2504_h20,m_ai,0.7,market_exponential,"Licence requirements on the compliant-SKU accelerators halted a specific, large product line: the AI end-market is the side that lost supply outright, with AI logic exposed through that line's share of output.",The standing regime is carried structurally; this models the halt-and-rewrite adjustment.
h2504_ree,gases,0.8,market_exponential,Controls on seven heavy rare earths plus magnets are close to a whole-stage measure for the materials stage; automotive is the named downstream line-stoppage.,A licensing pause whose bite is inventory drawdown and licence throughput.
h2504_ree,analog,0.3,market_exponential,Controls on seven heavy rare earths plus magnets are close to a whole-stage measure for the materials stage; automotive is the named downstream line-stoppage.,A licensing pause whose bite is inventory drawdown and licence throughput.
h2504_ree,m_auto,0.45,market_exponential,Controls on seven heavy rare earths plus magnets are close to a whole-stage measure for the materials stage; automotive is the named downstream line-stoppage.,A licensing pause whose bite is inventory drawdown and licence throughput.
x2502_tungsten,gases,0.5,market_exponential,"Five additional controlled materials cover part, not all, of the materials stage; substrates are the named packaging-side consumer and analog the named device-side one.","Materials-licensing measure, commercial timescale."
x2502_tungsten,analog,0.2,market_exponential,"Five additional controlled materials cover part, not all, of the materials stage; substrates are the named packaging-side consumer and analog the named device-side one.","Materials-licensing measure, commercial timescale."
x2502_tungsten,substrates,0.35,market_exponential,"Five additional controlled materials cover part, not all, of the materials stage; substrates are the named packaging-side consumer and analog the named device-side one.","Materials-licensing measure, commercial timescale."
x2501_foundryrule,adv_fab,0.35,market_exponential,"A due-diligence rule imposes a compliance burden across foundry and packaging rather than removing capacity, so exposures are moderate and roughly even across the stages named.",A due-diligence obligation absorbed into standard practice over a commercial cycle.
x2501_foundryrule,adv_pkg,0.35,market_exponential,"A due-diligence rule imposes a compliance burden across foundry and packaging rather than removing capacity, so exposures are moderate and roughly even across the stages named.",A due-diligence obligation absorbed into standard practice over a commercial cycle.
x2501_foundryrule,osat,0.3,market_exponential,"A due-diligence rule imposes a compliance burden across foundry and packaging rather than removing capacity, so exposures are moderate and roughly even across the stages named.",A due-diligence obligation absorbed into standard practice over a commercial cycle.
x2501_foundryrule,logic_ai,0.25,market_exponential,"A due-diligence rule imposes a compliance burden across foundry and packaging rather than removing capacity, so exposures are moderate and roughly even across the stages named.",A due-diligence obligation absorbed into standard practice over a commercial cycle.
h2412_gaban,gases,0.7,market_exponential,"A country-targeted ban on gallium, germanium and antimony covers most of the materials stage for the destination named; analog is exposed through the parts that consume them.","An export ban whose operational effect is re-sourcing, which resolves commercially."
h2412_gaban,analog,0.25,market_exponential,"A country-targeted ban on gallium, germanium and antimony covers most of the materials stage for the destination named; analog is exposed through the parts that consume them.","An export ban whose operational effect is re-sourcing, which resolves commercially."
h2412_bis3,hbm,0.75,market_exponential,"The package puts HBM under control directly, so that stage carries most of it; memory fab and the two equipment stages are exposed through the entity additions rather than across their whole output.",Standing regime carried structurally; the operational term is the compliance and re-routing adjustment.
h2412_bis3,memory_fab,0.4,market_exponential,"The package puts HBM under control directly, so that stage carries most of it; memory fab and the two equipment stages are exposed through the entity additions rather than across their whole output.",Standing regime carried structurally; the operational term is the compliance and re-routing adjustment.
h2412_bis3,depo,0.35,market_exponential,"The package puts HBM under control directly, so that stage carries most of it; memory fab and the two equipment stages are exposed through the entity additions rather than across their whole output.",Standing regime carried structurally; the operational term is the compliance and re-routing adjustment.
h2412_bis3,etch,0.35,market_exponential,"The package puts HBM under control directly, so that stage carries most of it; memory fab and the two equipment stages are exposed through the entity additions rather than across their whole output.",Standing regime carried structurally; the operational term is the compliance and re-routing adjustment.
x2411_tsmcchina7nm,adv_fab,0.25,market_exponential,"One foundry suspending sub-7nm supply to mainland designers affects the share of each stage represented by that customer set, not the stages as a whole; design carries the most because it is the customer set itself.",A supply suspension that redirects orders over a commercial cycle.
x2411_tsmcchina7nm,logic_ai,0.3,market_exponential,"One foundry suspending sub-7nm supply to mainland designers affects the share of each stage represented by that customer set, not the stages as a whole; design carries the most because it is the customer set itself.",A supply suspension that redirects orders over a commercial cycle.
x2411_tsmcchina7nm,design,0.35,market_exponential,"One foundry suspending sub-7nm supply to mainland designers affects the share of each stage represented by that customer set, not the stages as a whole; design carries the most because it is the customer set itself.",A supply suspension that redirects orders over a commercial cycle.
x2409_gaafet,adv_fab,0.2,market_exponential,"Controls on quantum, GAAFET and advanced additive technologies are forward-looking: they touch the leading-edge fraction of each stage rather than current volume output.",A prospective-technology control whose current-period bite is licensing friction.
x2409_gaafet,eda,0.25,market_exponential,"Controls on quantum, GAAFET and advanced additive technologies are forward-looking: they touch the leading-edge fraction of each stage rather than current volume output.",A prospective-technology control whose current-period bite is licensing friction.
x2409_gaafet,depo,0.25,market_exponential,"Controls on quantum, GAAFET and advanced additive technologies are forward-looking: they touch the leading-edge fraction of each stage rather than current volume output.",A prospective-technology control whose current-period bite is licensing friction.
x2409_gaafet,metro,0.25,market_exponential,"Controls on quantum, GAAFET and advanced additive technologies are forward-looking: they touch the leading-edge fraction of each stage rather than current volume output.",A prospective-technology control whose current-period bite is licensing friction.
h2405_huawei,design,0.2,market_exponential,"Revoking licences for one buyer is a single-customer cut, so the share of each stage exposed is small and the record itself describes a modest magnitude.",A single-buyer supply cutoff absorbed commercially.
h2405_huawei,logic_ai,0.15,market_exponential,"Revoking licences for one buyer is a single-customer cut, so the share of each stage exposed is small and the record itself describes a modest magnitude.",A single-buyer supply cutoff absorbed commercially.
h2405_huawei,m_consumer,0.2,market_exponential,"Revoking licences for one buyer is a single-customer cut, so the share of each stage exposed is small and the record itself describes a modest magnitude.",A single-buyer supply cutoff absorbed commercially.
h2404_hualien,adv_fab,0.3,acute_exponential,"Fab halts and wafer scrap at the affected Taiwanese sites, which are a share of each stage rather than all of it.","The record describes a fast recovery with no staged restart schedule, so an acute exponential decay is the honest shape: physical disruption whose restoration path is not separately recorded."
h2404_hualien,memory_fab,0.2,acute_exponential,"Fab halts and wafer scrap at the affected Taiwanese sites, which are a share of each stage rather than all of it.","The record describes a fast recovery with no staged restart schedule, so an acute exponential decay is the honest shape: physical disruption whose restoration path is not separately recorded."
